metric,total_samples,compliant_samples,non_compliant_samples,compliance_rate_pct,mean_score,max_score,min_score,std_score
Euclidean,10500,10434,66,99.37142857142857,0.754604697227478,1.1232256889343262,0.4619321823120117,0.08847150206565857
Mahalanobis,10500,10500,0,100.0,0.17946231243548758,0.3359294202421715,0.09691900634303904,0.0345333568940241
